algoritmo,tiempo,memoria
MedicionBuscarLinkedList,34034960782,937264
MedicionBuscarArrayList,14574288776,937274
MedicionBuscarHashMap,10648605,1324621
MedicionBuscarTreeMap,37697602,1324623
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,46590480814,937264
MedicionBuscarArrayList,14443358657,937274
MedicionBuscarTrie,14565239,0
MedicionBuscarHashMap,36393597,1324621
MedicionBuscarTreeMap,37075108,1324623
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,38762427820,937264
MedicionBuscarArrayList,11028422796,937274
MedicionBuscarTrie,17261518,0
MedicionBuscarHashMap,15869244,1324621
MedicionBuscarTreeMap,36862649,1324623
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,38415257117,937264
MedicionBuscarArrayList,11448407379,937274
MedicionBuscarTrie,17787533,0
MedicionBuscarHashMap,16763727,1324621
MedicionBuscarTreeMap,35078302,1324623
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,43822897016,937264
MedicionBuscarArrayList,14265909273,937274
MedicionBuscarTrie,16398339,0
MedicionBuscarHashMap,32081810,1324621
MedicionBuscarTreeMap,37464616,1324623
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,47848635336,937264
MedicionBuscarArrayList,15901198391,937274
MedicionBuscarTrie,44626637,10450611
MedicionBuscarHashMap,16656985,1324621
MedicionBuscarTreeMap,67724616,1324623
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,76384116118,937264
MedicionBuscarArrayList,21122973171,937274
MedicionBuscarTrie,3724378,10450611
MedicionBuscarHashMap,20787653,1324621
MedicionBuscarTreeMap,38890290,1324623
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,39220406093,937264
MedicionBuscarArrayList,10392407726,937274
MedicionBuscarTrie,3654399,10450611
MedicionBuscarHashMap,6901757,1324621
MedicionBuscarTreeMap,25376416,1324623
